139,27,10,150
162,27,7,159
164,27,7,161
174,28,6,174
190,30,6,181
151,26,8,160
176,28,7,170
168,28,7,165
200,31,6,190
191,30,6,183
205,31,6,199
173,27,7,171
136,23,7,133
133,23,6,129
139,23,6,136
150,24,6,147
164,25,6,161
172,26,6,161
172,27,7,165
161,27,9,165
165,29,11,171
154,30,12,162
191,40,18,208
189,46,24,215
187,41,20,206
185,30,7,180
150,25,7,147
144,24,7,144
193,30,7,191
188,29,7,185
172,26,6,170
183,27,6,180
179,27,6,176
199,30,6,195
200,31,6,191
205,31,6,197
206,30,5,198
205,30,5,196
174,28,7,168
135,26,10,142
112,26,14,130
106,25,14,129
97,24,16,120
60,15,12,80
69,19,16,94
52,13,10,69
55,14,11,73
47,11,9,61
46,11,8,61
33,8,7,44
58,16,13,81
22,4,3,27
22,4,3,27
21,4,3,26
20,4,3,25
20,4,4,25
19,4,4,24
33,8,7,45
58,16,13,80
76,27,23,114
69,23,20,105
89,20,11,104
75,21,17,101
32,8,7,44
45,12,13,76
59,17,15,84
60,17,14,83
84,22,15,107
52,13,10,69
48,12,9,63
37,9,7,48
42,10,8,55
71,24,17,107
70,19,15,94
73,21,16,99
87,24,16,112
76,21,14,105
88,24,17,114
101,27,18,127
73,20,15,110
84,24,17,110
53,12,9,69
64,16,12,84
105,27,18,129
144,26,9,146
134,25,10,141
198,30,5,187
166,27,7,162
113,27,15,132
105,27,16,127
59,15,12,79
31,8,7,46
53,13,10,69
32,8,7,46
46,13,11,63
35,12,12,55
22,9,8,42
39,14,14,62
38,11,9,53
30,8,7,42
156,41,25,188
167,38,20,191
192,36,14,201
193,36,13,200
191,37,16,203
156,44,29,198
145,41,27,181
146,43,29,184
147,46,34,194
140,38,24,170
140,38,25,171
137,39,27,170
138,46,37,190
145,51,42,207
154,57,48,225
146,50,40,204
147,51,41,207
148,51,41,207
141,49,40,199
145,51,42,202
143,47,36,194
146,32,15,161
148,29,12,156
151,67,67,253
162,39,22,187
176,39,19,198
174,30,10,173
156,26,8,154
121,20,8,121
94,17,8,100
73,18,13,92
36,10,9,51
22,5,4,28
20,4,4,26
62,19,17,90
97,18,8,103
123,20,8,123
125,20,6,125
129,21,6,133
103,18,7,107
80,19,13,98
73,21,16,97
86,19,11,99
131,23,8,133
139,23,8,139
177,30,9,178
191,36,13,197
182,37,17,194
177,35,15,185
190,37,15,201
186,35,13,195
136,37,25,167
132,43,31,173
129,44,33,176
134,43,32,179
143,58,49,218
165,65,55,250
167,46,31,209
137,43,31,180
135,41,29,173
142,39,25,175
156,36,20,179
146,33,18,165
152,34,18,171
163,37,19,185
171,38,20,192
181,38,18,199
188,36,15,199
193,35,14,201
192,36,14,200
186,37,16,200
184,35,15,195
183,31,9,180
174,30,10,173
173,35,15,182
182,38,18,196
165,98,99,255
160,64,53,243
189,71,56,255
192,66,49,255
194,66,46,255
164,44,28,197
169,52,35,215
194,144,136,255
199,110,100,255
189,37,15,199
163,28,8,161
119,21,8,122
152,28,11,155
157,28,10,158
113,20,7,116
144,25,8,149
163,28,9,162
149,25,9,151
100,18,8,106
70,19,14,92
79,17,10,92
136,24,8,137
99,17,7,104
108,20,8,113
26,115,55,170
26,114,56,170
25,113,54,166
24,113,54,165
24,112,53,162
24,112,52,162
23,110,52,160
24,111,52,161
24,112,52,161
24,112,52,162
26,113,53,165
26,115,54,167
27,115,54,167
28,117,55,171
27,116,55,171
27,116,55,169
30,119,57,176
27,116,54,168
29,117,54,170
30,119,55,172
27,116,52,164
28,117,53,166
27,116,52,165
27,117,52,165
26,115,51,162
28,117,52,166
36,121,57,179
25,114,50,159
22,110,47,152
21,109,48,152
19,107,46,145
18,106,45,144
19,107,45,145
19,107,45,145
20,108,45,145
19,108,45,145
19,108,45,146
18,107,45,145
19,108,45,145
20,108,46,146
20,109,46,147
20,109,45,146
21,109,46,147
20,110,46,147
20,110,47,148
21,109,46,147
21,109,46,148
20,109,46,147
20,108,46,147
20,108,46,147
20,109,46,147
20,109,46,147
21,109,47,148
21,110,47,149
21,110,47,149
22,110,46,150
23,111,47,151
23,111,47,152
26,114,49,158
24,112,48,154
26,114,50,159
27,114,50,159
26,114,50,160
29,117,52,164
26,115,51,161
26,115,50,161
26,116,51,162
26,115,51,161
23,112,48,155
22,111,48,154
25,114,50,159
24,114,50,159
23,112,49,156
22,111,48,153
23,112,48,155
23,112,48,154
23,111,47,152
22,111,47,151
23,111,47,151
23,112,49,154
32,121,64,188
32,120,65,191
31,119,65,192
32,119,67,194
31,119,65,192
32,120,66,193
33,122,67,196
33,121,66,194
31,120,64,190
32,120,66,195
42,125,74,212
32,119,65,190
26,113,55,168
26,111,54,163
26,112,53,163
26,108,51,159
27,111,52,162
28,113,54,167
30,114,56,171
31,116,58,175
33,123,63,191
33,119,62,185
33,121,63,188
33,119,62,185
34,122,63,190
36,126,65,195
33,123,64,191
34,123,64,193
33,123,63,190
35,125,64,194
34,124,64,192
34,124,64,192
33,125,64,192
34,124,64,191
32,122,62,186
31,121,61,183
30,120,58,178
28,117,54,169
25,113,51,161
24,109,49,153
23,102,46,145
21,93,43,133
19,86,39,123
21,93,42,132
27,110,50,157
27,115,52,163
30,117,55,171
29,116,54,168
25,112,51,159
24,110,50,155
22,104,46,145
25,107,50,154
24,98,48,145
21,75,42,121
21,71,40,117
29,107,53,161
33,117,56,173
33,117,57,175
34,118,58,177
32,111,55,168
30,101,52,155
29,100,53,158
27,113,55,167
32,114,62,177
30,115,58,174
31,113,58,174
35,110,62,179
52,113,73,210
76,128,88,249
33,117,61,181
34,117,61,182
35,120,64,189
40,123,67,197
39,123,66,196
37,121,65,191
41,125,71,206
38,121,65,192
47,128,72,211
39,123,66,195
38,125,70,204
47,133,82,227
47,133,82,228
40,124,67,199
40,122,66,194
41,123,67,198
40,123,67,198
41,124,68,200
43,126,71,206
48,130,75,218
43,125,66,199
42,124,65,196
46,128,68,207
45,128,67,205
48,131,71,213
42,125,63,194
37,120,59,183
36,114,55,173
35,109,55,168
35,110,54,166
41,124,64,193
41,124,65,196
37,122,59,184
36,118,57,177
39,119,60,183
45,127,66,201
45,129,69,208
40,121,61,188
44,110,60,182
53,117,66,198
43,125,63,195
48,132,74,216
48,133,75,220
44,128,68,207
48,132,73,216
45,128,68,208
44,127,68,207
43,127,67,203
44,127,67,204
48,130,70,212
48,132,73,219
20,67,145,209
22,70,147,215
19,66,144,206
19,67,143,204
16,63,142,199
20,68,146,210
20,67,145,208
22,70,146,215
21,69,145,210
19,67,143,206
28,75,147,219
20,67,143,206
20,68,143,207
19,67,143,205
20,67,143,205
20,67,142,204
19,65,142,201
19,66,141,201
19,67,142,204
19,66,141,201
17,64,140,197
18,65,141,200
18,65,141,201
17,64,140,197
18,65,139,199
19,66,140,201
14,60,138,188
20,67,140,201
22,70,141,206
25,72,143,211
27,73,142,215
27,74,144,217
35,81,146,234
28,74,143,217
15,62,139,192
15,62,140,193
9,53,137,180
8,54,146,191
8,56,157,204
9,68,202,255
9,70,197,255
8,61,170,223
9,70,208,255
9,74,216,255
9,72,205,255
9,73,209,255
8,58,165,214
8,61,181,234
8,60,174,224
8,60,175,226
8,67,200,255
9,71,210,255
9,71,212,255
8,64,189,243
8,70,209,255
8,59,171,221
8,59,174,223
8,53,137,179
10,55,136,182
12,58,138,186
15,63,141,194
15,62,141,194
16,63,142,197
14,61,141,194
15,62,141,196
11,58,139,187
10,56,138,184
20,69,147,210
15,63,143,198
16,63,143,200
13,59,140,192
11,56,139,187
11,57,138,187
13,59,140,191
10,55,137,181
7,57,163,210
8,65,195,251
7,53,146,190
8,53,138,181
11,57,137,184
50,95,171,255
49,94,165,255
31,79,155,241
34,82,158,252
46,93,162,255
35,84,159,255
31,79,156,244
32,81,157,247
57,101,166,255
68,111,167,255
39,87,162,255
35,82,158,255
38,86,161,255
55,100,164,255
31,80,155,243
46,93,163,255
79,122,169,255
33,82,158,251
32,80,156,244
63,106,164,255
38,86,159,255
31,80,155,240
34,82,157,249
63,107,165,255
41,89,157,253
43,97,160,255
32,81,153,240
42,89,158,255
85,124,168,255
37,85,156,250
31,80,154,239
31,79,153,237
165,210,214,255
178,222,220,255
31,79,151,236
28,74,147,223
56,98,156,255
61,102,156,255
25,72,144,218
43,98,156,255
33,77,144,227
49,89,138,247
39,75,122,213
28,75,142,219
50,111,165,255
35,77,134,222
35,70,116,201
27,66,120,193
25,73,142,216
26,73,143,216
24,56,103,168
23,63,122,190
21,68,137,202
50,110,163,255
28,75,142,220
30,65,110,186
28,41,58,119
35,80,141,230
32,79,146,229
32,80,147,232
29,59,97,171
26,48,76,140
30,81,148,234
37,85,154,247
50,91,141,255
45,72,100,197
52,95,149,255
52,104,171,255
55,106,173,255
63,111,169,255
71,117,169,255
53,101,164,255
63,115,179,255
60,112,177,255
55,107,175,255
56,108,177,255
40,88,158,255
52,97,160,255
40,88,159,255
41,89,158,255
44,92,159,255
52,99,162,255
41,90,158,255
51,101,164,255
61,114,172,255
39,87,155,251
39,85,152,247
51,89,133,243
33,80,148,235
42,96,154,255
37,85,151,243
37,86,151,244
40,86,146,241
27,74,142,220
38,88,149,244
36,86,152,242
30,79,146,225
31,77,136,216
30,64,107,181
26,71,135,207
23,72,142,212
31,80,149,230
35,84,151,237
60,113,161,255
47,94,153,253
42,91,156,253
35,84,148,236
32,78,140,222
32,80,150,230
30,79,150,228
38,88,154,245
32,82,153,235
45,93,156,255
39,88,155,248
45,93,157,255
46,93,157,255
98,149,177,255
138,199,207,255
93,142,173,255
24,73,149,223
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
155,101,20,253
224,148,24,255
224,148,24,255
224,148,24,255
224,148,24,255
224,148,24,255
224,148,24,255
224,148,24,255
224,148,24,255
204,129,22,255
204,129,22,255
204,129,22,255
204,129,22,255
204,129,22,255
204,129,22,255
204,129,22,255
204,129,22,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
194,126,23,255
255,201,30,255
255,201,30,255
255,201,30,255
255,201,30,255
255,201,30,255
255,201,30,255
255,201,30,255
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
140,92,23,240
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
188,119,22,255
255,247,32,255
255,255,34,255
255,219,30,255
255,255,33,255
255,198,30,255
235,178,23,255
225,174,23,255
225,174,25,255
237,183,25,255
238,183,26,255
246,187,25,255
243,185,25,255
249,189,27,255
248,188,26,255
245,186,25,255
248,188,27,255
249,189,26,255
253,192,28,255
252,190,27,255
255,192,28,255
255,193,28,255
251,191,28,255
242,184,24,255
243,184,25,255
231,174,24,255
255,195,33,255
255,198,37,255
255,194,35,255
255,192,35,255
255,199,38,255
255,195,36,255
255,194,34,255
255,193,35,255
254,190,34,255
255,192,35,255
255,197,38,255
255,196,37,255
255,194,36,255
255,199,40,255
246,185,30,255
231,174,24,255
236,176,26,255
238,178,27,255
236,177,27,255
241,180,28,255
248,185,30,255
249,186,31,255
250,187,30,255
248,185,29,255
235,176,25,255
233,174,25,255
219,166,24,255
255,195,37,255
236,180,33,255
232,176,30,255
216,164,23,255
216,164,23,255
214,161,23,255
212,161,23,255
218,164,22,255
222,168,23,255
235,176,25,255
233,174,25,255
230,169,22,255
227,167,22,255
230,169,22,255
236,172,23,255
232,170,23,255
234,171,23,255
227,168,23,255
230,169,22,255
216,161,21,255
216,161,21,255
216,160,21,255
218,163,21,255
221,164,20,255
220,164,21,255
223,165,20,255
222,165,21,255
222,166,21,255
224,180,53,255
223,180,53,255
215,177,59,255
218,177,56,255
213,176,61,255
213,177,60,255
215,177,59,255
215,177,59,255
211,176,64,255
213,177,61,255
213,177,60,255
204,177,71,255
198,178,78,255
199,180,79,255
196,178,83,255
192,176,82,255
194,180,86,255
190,179,87,255
187,185,103,255
184,186,109,255
